Question,Option1,Option2,Option3,Option4,Answer
What is the capital of France?,London,Berlin,Madrid,Paris,Paris
Which planet is known as the Red Planet?,Venus,Jupiter,Mars,Saturn,Mars
Who is the author of "Romeo and Juliet"?,Jane Austen,Charles Dickens,Mark Twain,William Shakespeare,William Shakespeare
Which gas do plants absorb from the atmosphere?,Oxygen (O2),Nitrogen (N2),Carbon dioxide (CO2),Hydrogen (H2),Carbon dioxide (CO2)
What is the largest mammal in the world?,African Elephant,Giraffe,Blue Whale,Lion,Blue Whale
In which year did Christopher Columbus first arrive in the Americas?,1492,1776,1066,1969,1492
What is the chemical symbol for gold?,Ag,Ge,Au,Fe,Au
Who painted the Mona Lisa?,Vincent van Gogh,Pablo Picasso,Michelangelo,Leonardo da Vinci,Leonardo da Vinci
What is the largest organ in the human body?,Heart,Brain,Skin,Liver,Skin
Which gas do humans exhale when they breathe out?,Oxygen (O2),Nitrogen (N2),Carbon dioxide (CO2),Hydrogen (H2),Carbon dioxide (CO2)
